,CLASS,PACKAGE,KILLED,,MEMORY_ERROR,SURVIVED,TIMED_OUT,Total_Mutant,Mutation_Score
189,DividedDifferenceInterpolator,org.apache.commons.math3.analysis.interpolation,16,0,0,0,0,16,100
190,DormandPrince54FieldIntegrator,org.apache.commons.math3.ode.nonstiff,12,0,0,0,1,13,100
191,DormandPrince54FieldStepInterpolator,org.apache.commons.math3.ode.nonstiff,4,0,0,1,0,5,80
192,DormandPrince54Integrator,org.apache.commons.math3.ode.nonstiff,24,0,0,0,2,26,100
193,DormandPrince54StepInterpolator,org.apache.commons.math3.ode.nonstiff,74,0,0,2,1,77,97.4025974
194,DormandPrince853FieldIntegrator,org.apache.commons.math3.ode.nonstiff,13,0,0,1,1,15,93.33333333
195,DormandPrince853FieldStepInterpolator,org.apache.commons.math3.ode.nonstiff,9,0,0,1,0,10,90
196,DormandPrince853Integrator,org.apache.commons.math3.ode.nonstiff,29,0,0,1,23,53,98.11320755
197,DormandPrince853StepInterpolator,org.apache.commons.math3.ode.nonstiff,250,0,0,5,1,256,98.046875
198,DoublePoint,org.apache.commons.math3.ml.clustering,4,0,2,2,0,8,50
199,DummyLocalizable,org.apache.commons.math3.exception.util,0,0,3,0,0,3,0
200,DummyStepHandler,org.apache.commons.math3.ode.sampling,0,0,2,0,0,2,0
201,EarthMoversDistance,org.apache.commons.math3.ml.distance,6,0,0,1,0,7,85.71428571
202,Edge,org.apache.commons.math3.geometry.spherical.twod,19,0,3,18,0,40,47.5
203,EdgesBuilder,org.apache.commons.math3.geometry.spherical.twod,16,0,0,4,0,20,80
204,EigenDecomposition,org.apache.commons.math3.linear,401,0,22,49,2,474,85.02109705
205,ElitisticListPopulation,org.apache.commons.math3.genetics,11,0,0,3,0,14,78.57142857
206,EmbeddedRungeKuttaFieldIntegrator,org.apache.commons.math3.ode.nonstiff,42,0,3,19,10,74,70.27027027
207,EmbeddedRungeKuttaIntegrator,org.apache.commons.math3.ode.nonstiff,85,0,0,10,14,109,90.82568807
208,EmpiricalDistribution,org.apache.commons.math3.random,112,0,9,21,0,142,78.87323944
209,EnclosingBall,org.apache.commons.math3.geometry.enclosing,12,0,0,1,0,13,92.30769231
210,EnumeratedDistribution,org.apache.commons.math3.distribution,30,0,12,7,0,49,61.2244898
211,EnumeratedIntegerDistribution,org.apache.commons.math3.distribution,32,0,0,4,0,36,88.88888889
212,EnumeratedRealDistribution,org.apache.commons.math3.distribution,44,0,0,4,0,48,91.66666667
213,EquationsMapper,org.apache.commons.math3.ode,6,0,0,0,0,6,100
214,Erf,org.apache.commons.math3.special,143,0,0,24,0,167,85.62874251
215,Euclidean1D,org.apache.commons.math3.geometry.euclidean.oned,3,0,0,0,0,3,100
216,Euclidean2D,org.apache.commons.math3.geometry.euclidean.twod,4,0,0,0,0,4,100
217,Euclidean3D,org.apache.commons.math3.geometry.euclidean.threed,4,0,0,0,0,4,100
218,EuclideanDistance,org.apache.commons.math3.ml.distance,1,0,0,0,0,1,100
219,EuclideanDoublePoint,org.apache.commons.math3.stat.clustering,11,0,2,1,0,14,78.57142857
220,EuclideanIntegerPoint,org.apache.commons.math3.stat.clustering,11,0,2,1,0,14,78.57142857
221,EulerFieldIntegrator,org.apache.commons.math3.ode.nonstiff,4,0,0,0,0,4,100
222,EulerFieldStepInterpolator,org.apache.commons.math3.ode.nonstiff,2,0,0,3,0,5,40
223,EulerStepInterpolator,org.apache.commons.math3.ode.nonstiff,13,0,0,2,0,15,86.66666667
224,EvaluationRmsChecker,org.apache.commons.math3.fitting.leastsquares,4,0,0,0,0,4,100
225,EventFilter,org.apache.commons.math3.ode.events,25,0,4,11,0,40,62.5
226,EventState,org.apache.commons.math3.ode.events,78,0,6,13,3,100,81
227,ExceptionContext,org.apache.commons.math3.exception.util,45,0,1,0,0,46,97.82608696
228,Exp,org.apache.commons.math3.analysis.function,0,0,2,1,0,3,0
229,ExpandableStatefulODE,org.apache.commons.math3.ode,32,0,4,0,0,36,88.88888889
230,Expm1,org.apache.commons.math3.analysis.function,1,0,2,0,0,3,33.33333333
231,ExponentialDecayFunction,org.apache.commons.math3.ml.neuralnet.sofm.util,14,0,0,1,0,15,93.33333333
232,ExponentialDistribution,org.apache.commons.math3.distribution,45,0,2,7,2,56,83.92857143
233,FDistribution,org.apache.commons.math3.distribution,56,0,0,4,1,61,93.44262295
234,FastCosineTransformer,org.apache.commons.math3.transform,57,0,0,1,0,58,98.27586207
235,FastFourierTransformer,org.apache.commons.math3.transform,194,0,6,3,1,204,95.58823529
236,FastHadamardTransformer,org.apache.commons.math3.transform,43,0,1,0,2,46,97.82608696
237,FastMath,org.apache.commons.math3.util,2129,0,42,334,12,2517,85.06158125
238,FastMathCalc,org.apache.commons.math3.util,0,0,245,0,0,245,0
239,FastMathLiteralArrays,org.apache.commons.math3.util,4,0,0,1,0,5,80
240,FastSineTransformer,org.apache.commons.math3.transform,42,0,0,1,0,43,97.6744186
241,FeatureInitializerFactory,org.apache.commons.math3.ml.neuralnet,5,0,1,2,0,8,62.5
242,FieldBracketingNthOrderBrentSolver,org.apache.commons.math3.analysis.solvers,82,0,5,29,1,117,70.94017094
243,FieldEquationsMapper,org.apache.commons.math3.ode,53,0,0,3,0,56,94.64285714
244,FieldEventState,org.apache.commons.math3.ode.events,27,0,24,17,3,71,42.25352113
245,FieldExpandableODE,org.apache.commons.math3.ode,14,0,0,1,0,15,93.33333333
246,FieldHermiteInterpolator,org.apache.commons.math3.analysis.interpolation,46,0,0,4,0,50,92
247,FieldLUDecomposition,org.apache.commons.math3.linear,144,0,0,5,0,149,96.6442953
248,FieldODEState,org.apache.commons.math3.ode,16,0,0,0,0,16,100
249,FieldODEStateAndDerivative,org.apache.commons.math3.ode,4,0,0,0,0,4,100
250,FieldRotation,org.apache.commons.math3.geometry.euclidean.threed,173,0,0,78,0,251,68.92430279
